   0.0 TEL | Telepresence 0.105 launched at Fri May  1 15:50:41 2020
  17.3 TEL |   2020-05-01T14:50:54+0000 [stdout#info] A query: b'kafka-opentp.kafka'
  17.3 TEL |   2020-05-01T14:50:54+0000 [stdout#info] AAAA query, sending back A instead: b'kafka-opentp.kafka'
  17.3 TEL |   2020-05-01T14:50:54+0000 [stdout#info] A query: b'kafka-opentp.kafka'
  17.3 TEL |   2020-05-01T14:50:54+0000 [stdout#info] Result for b'kafka-opentp.kafka' is ['10.102.135.241']
  17.3 TEL |   2020-05-01T14:50:54+0000 [stdout#info] Result for b'kafka-opentp.kafka' is ['10.102.135.241']
  17.3 TEL |   2020-05-01T14:50:55+0000 [stdout#info] A query: b'kafka-opentp.kafka'
  17.3 TEL |   2020-05-01T14:50:55+0000 [stdout#info] AAAA query, sending back A instead: b'kafka-opentp.kafka'
  17.3 TEL |   2020-05-01T14:50:55+0000 [stdout#info] A query: b'kafka-opentp.kafka'
  17.3 TEL |   2020-05-01T14:50:55+0000 [stdout#info] Result for b'kafka-opentp.kafka' is ['10.102.135.241']
  17.3 TEL |   2020-05-01T14:50:55+0000 [stdout#info] Result for b'kafka-opentp.kafka' is ['10.102.135.241']
  17.3 TEL | (Cleanup) Re-scale original deployment
  17.3 TEL | [50] Running: kubectl --context kubernetes-admin@kubernetes --namespace default scale deployment xnas-order-gateway --replicas=1
  17.5  50 | deployment.apps/xnas-order-gateway scaled
  17.5 TEL | [50] ran in 0.14 secs.
  17.5 TEL | (Cleanup) Delete new deployment
  17.5 >>> | Swapping Deployment xnas-order-gateway back to its original state
  17.5 TEL | [51] Running: kubectl --context kubernetes-admin@kubernetes --namespace default delete deployment xnas-order-gatewa-8b672831e5e04e08949dbadd9755009a
  17.7  51 | deployment.apps "xnas-order-gatewa-8b672831e5e04e08949dbadd9755009a" deleted
  17.9 TEL | [51] ran in 0.39 secs.
  17.9 TEL | (Cleanup) Kill sudo privileges holder
  17.9 TEL | (Cleanup) Stop time tracking
  17.9 TEL | END SPAN main.py:40(main)   17.9s
  17.9 TEL | SPAN SUMMARY:
  17.9 TEL |   17.9s main.py:40(main)
  17.9 TEL |    0.6s   startup.py:83(set_kube_command)
  17.9 TEL |    0.1s     1 kubectl config current-context
  17.9 TEL |    0.1s     2 kubectl --context kubernetes-admin@kubernetes version --short
  17.9 TEL |    0.1s     3 kubectl --context kubernetes-admin@kubernetes config view -o json
  17.9 TEL |    0.1s     4 kubectl --context kubernetes-admin@kubernetes get ns default
  17.9 TEL |    0.1s     5 kubectl --context kubernetes-admin@kubernetes api-versions
  17.9 TEL |    0.0s   6 ssh -V
  17.9 TEL |    0.0s   7 sudo -n echo -n
  17.9 TEL |    0.0s   8 sudo iptables --list
  17.9 TEL |    0.1s   9 kubectl --context kubernetes-admin@kubernetes --namespace default get pods tel
  17.9 TEL |    0.9s   deployment.py:283(supplant_deployment)
  17.9 TEL |    0.1s     remote.py:75(get_deployment_json)
  17.9 TEL |    0.1s       10 kubectl --context kubernetes-admin@kubernetes --namespace default get deploym
  17.9 TEL |    0.1s     11 kubectl --context kubernetes-admin@kubernetes --namespace default delete depl
  17.9 TEL |    0.3s     12 kubectl --context kubernetes-admin@kubernetes --namespace default apply -f -
  17.9 TEL |    0.3s     13 kubectl --context kubernetes-admin@kubernetes --namespace default scale deplo
  17.9 TEL |    5.3s   remote.py:142(get_remote_info)
  17.9 TEL |    0.2s     remote.py:75(get_deployment_json)
  17.9 TEL |    0.2s       14 kubectl --context kubernetes-admin@kubernetes --namespace default get deploym
  17.9 TEL |    0.2s     15 kubectl --context kubernetes-admin@kubernetes --namespace default get pod -o
  17.9 TEL |    4.9s     remote.py:104(wait_for_pod)
  17.9 TEL |    0.1s       16 kubectl --context kubernetes-admin@kubernetes --namespace default get pod xna
  17.9 TEL |    0.1s       17 kubectl --context kubernetes-admin@kubernetes --namespace default get pod xna
  17.9 TEL |    0.1s       18 kubectl --context kubernetes-admin@kubernetes --namespace default get pod xna
  17.9 TEL |    0.1s       19 kubectl --context kubernetes-admin@kubernetes --namespace default get pod xna
  17.9 TEL |    0.1s       20 kubectl --context kubernetes-admin@kubernetes --namespace default get pod xna
  17.9 TEL |    0.1s       21 kubectl --context kubernetes-admin@kubernetes --namespace default get pod xna
  17.9 TEL |    0.1s       22 kubectl --context kubernetes-admin@kubernetes --namespace default get pod xna
  17.9 TEL |    0.1s       23 kubectl --context kubernetes-admin@kubernetes --namespace default get pod xna
  17.9 TEL |    0.1s       24 kubectl --context kubernetes-admin@kubernetes --namespace default get pod xna
  17.9 TEL |    0.1s       25 kubectl --context kubernetes-admin@kubernetes --namespace default get pod xna
  17.9 TEL |    0.1s       26 kubectl --context kubernetes-admin@kubernetes --namespace default get pod xna
  17.9 TEL |    0.2s       27 kubectl --context kubernetes-admin@kubernetes --namespace default get pod xna
  17.9 TEL |    0.2s       28 kubectl --context kubernetes-admin@kubernetes --namespace default get pod xna
  17.9 TEL |    0.5s   connect.py:37(connect)
  17.9 TEL |    0.0s     31 ssh -F /dev/null -oStrictHostKeyChecking=no -oUserKnownHostsFile=/dev/null -q
  17.9 TEL |    0.2s     32 ssh -F /dev/null -oStrictHostKeyChecking=no -oUserKnownHostsFile=/dev/null -q
  17.9 TEL |    0.3s   remote_env.py:29(get_remote_env)
  17.9 TEL |    0.3s     35 kubectl --context kubernetes-admin@kubernetes --namespace default exec xnas-o
  17.9 TEL |    0.2s   mount.py:30(mount_remote_volumes)
  17.9 TEL |    0.2s     36 sshfs -p 45605 -F /dev/null -oStrictHostKeyChecking=no -oUserKnownHostsFile=/
  17.9 TEL |    3.4s   vpn.py:280(connect_sshuttle)
  17.9 TEL |    0.0s     vpn.py:77(get_proxy_cidrs)
  17.9 TEL |    3.4s     vpn.py:303(connect_sshuttle,sshuttle-wait)
  17.9 TEL |    0.1s       38 python3 -c 'import socket; socket.gethostbyname("hellotelepresence-0")'
  17.9 TEL |    0.1s       39 python3 -c 'import socket; socket.gethostbyname("hellotelepresence-0.a.sanity
  17.9 TEL |    0.1s       40 python3 -c 'import socket; socket.gethostbyname("hellotelepresence-1")'
  17.9 TEL |    1.0s       41 python3 -c 'import socket; socket.gethostbyname("hellotelepresence-1.a.sanity
  17.9 TEL |    0.1s       42 python3 -c 'import socket; socket.gethostbyname("hellotelepresence-2")'
  17.9 TEL |    1.0s       43 python3 -c 'import socket; socket.gethostbyname("hellotelepresence-2.a.sanity
  17.9 TEL |    0.1s       44 python3 -c 'import socket; socket.gethostbyname("hellotelepresence-3")'
  17.9 TEL |    0.1s       45 python3 -c 'import socket; socket.gethostbyname("hellotelepresence-3.a.sanity
  17.9 TEL |    0.1s       46 python3 -c 'import socket; socket.gethostbyname("hellotelepresence-4")'
  17.9 TEL |    0.1s       47 python3 -c 'import socket; socket.gethostbyname("hellotelepresence-4.a.sanity
  17.9 TEL |    0.1s       48 python3 -c 'import socket; socket.gethostbyname("hellotelepresence-5")'
  17.9 TEL |    5.3s   runner.py:726(wait_for_exit)
  17.9 TEL |    0.0s   49 fusermount -z -u /tmp/tel-p2vhz3c7/fs
  17.9 TEL |    0.1s   50 kubectl --context kubernetes-admin@kubernetes --namespace default scale deplo
  17.9 TEL |    0.4s   51 kubectl --context kubernetes-admin@kubernetes --namespace default delete depl
  17.9 TEL | (Cleanup) Remove temporary directory
  17.9 TEL | (Cleanup) Save caches
  18.6 TEL | (sudo privileges holder thread exiting)
